,city,cityID,lat,temp,humidity,cldPct,wndSpd
0,Moncton,6076211,46.1,25.0,57,20,6.2
1,New Norfolk,2155415,-42.78,7.0,81,0,4.6
2,Punta Arenas,3874787,-53.16,6.0,70,75,6.7
3,Dingle,1714733,11.0,23.29,96,36,2.11
4,Ballina,2966778,54.11,10.0,87,75,3.6
5,Mataura,6201424,-46.19,6.14,84,76,5.26
6,Iqaluit,5983720,63.75,6.0,81,75,5.7
7,Kapaa,5848280,22.08,27.04,97,90,10.8
8,Vila,3164565,45.18,25.0,65,0,1.0
9,Homer,5864145,59.64,13.89,77,1,4.1
10,Gladstone,2165478,-23.84,14.94,93,0,4.31
11,Hami,1529484,42.84,17.09,56,0,1.61
12,Kodiak,4407665,39.95,31.7,63,1,4.1
13,Butaritari,2110227,3.07,27.64,100,56,0.66
14,Denpasar,1645528,-8.65,23.0,78,75,1.5
15,Padang,1633419,-0.92,27.14,100,92,6.56
16,Avarua,4035715,-21.21,24.0,83,75,2.1
17,San Patricio,3437029,-26.98,17.44,75,0,4.36
18,Nagato,1899102,34.35,26.93,78,75,2.6
19,Brae,2654970,60.4,11.0,81,92,5.7
20,Grindavik,3416888,63.84,11.0,81,75,5.7
21,Bambous Virieux,1106677,-20.34,23.0,73,75,5.1
22,Carnarvon,1014034,-30.97,1.04,38,0,2.66
23,Georgetown,3378644,6.8,27.0,88,75,4.1
24,Miri,2347470,10.31,20.24,97,92,1.21
25,Savannah Bight,3601402,16.45,29.94,91,0,6.51
26,Nam Som,1608462,17.77,22.89,99,100,1.16
27,Vaini,1273574,15.34,19.94,99,92,2.16
28,Srednekolymsk,2121025,67.46,6.54,86,92,1.86
29,Razdolnoye,874045,43.7,19.24,62,0,5.26
30,Rikitea,4030556,-23.12,20.84,100,48,5.21
31,Sibolga,1213855,1.74,18.24,100,24,0.56
32,Acajutla,3587498,13.59,32.0,62,20,2.1
33,Jamestown,2069194,-33.21,2.44,81,0,2.11
34,Albany,5106834,42.65,26.73,38,20,2.6
35,Bredasdorp,1015776,-34.53,8.0,93,0,1.0
36,Odate,2128787,40.3,23.69,96,64,4.71
37,Nome,4732862,30.04,33.98,48,40,3.31
38,Cherskiy,2126199,68.75,3.49,95,92,2.26
39,Bluff,2175403,-23.58,12.69,85,64,1.81
40,Ushuaia,3833367,-54.81,6.0,70,75,2.6
41,Atuona,4020109,-9.8,26.29,100,0,6.41
42,Mayo,6068416,63.59,9.0,93,90,0.71
43,Galle,4695361,29.74,36.32,29,20,5.7
44,Qaanaaq,3831208,77.48,2.94,95,0,2.81
45,Busselton,2075265,-33.64,11.29,100,36,2.71
46,Port-Gentil,2396518,-0.72,24.0,83,20,2.6
47,Cape Town,3369157,-33.93,10.0,93,0,1.5
48,Pringsewu,1630639,-5.36,22.89,94,92,0.61
49,Baoro,2389804,5.69,19.84,95,92,1.31
50,Leningradskiy,2123814,69.38,2.69,100,88,7.06
51,Tiksi,2015306,71.64,5.89,100,88,2.36
52,Hambantota,1244926,6.12,26.44,100,12,7.41
53,Uvinza,149050,-5.1,16.29,94,8,0.66
54,Teguise,2510573,29.06,25.0,73,0,8.2
55,Birobidzhan,2026643,48.79,18.29,85,92,2.51
56,Lompoc,5367788,34.64,21.08,53,1,3.6
57,Cody,5821593,44.53,28.3,16,1,3.6
58,Castro,3896218,-42.48,5.89,100,92,4.46
59,Aksarka,1512019,66.56,10.79,91,0,1.26
60,Nakamura,1856057,35.17,27.0,88,75,2.6
61,Tual,1623197,-5.67,25.09,100,76,5.16
62,Khasan,2039557,42.43,19.04,100,100,2.31
63,Tuktoyaktuk,6170031,69.44,8.0,70,75,3.1
